i,j,center_dx_px,center_dy_px,rotation_angle_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.800000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+00,1.865606099272554275e-03,-1.400499006649624789e-04,6.011404797413472778e+01
0.000000000000000000e+00,3.000000000000000000e+00,-6.585498278718660004e-02,3.777504375228772915e-01,-1.789145869073955453e+02
0.000000000000000000e+00,4.000000000000000000e+00,-5.159091409270786244e-01,1.230211086848271407e+00,-1.057367197156315370e+02
0.000000000000000000e+00,5.000000000000000000e+00,-4.630001946989068529e-01,2.435807903294744392e-01,-1.705938765157854959e+02
0.000000000000000000e+00,6.000000000000000000e+00,-5.434871308867741391e-01,3.069016275463809507e-01,-6.980380732154299039e+01
0.000000000000000000e+00,7.000000000000000000e+00,-4.264560035128397431e-01,5.144043599833594271e-01,-1.752997519172907630e+02
0.000000000000000000e+00,8.000000000000000000e+00,-5.730874013443099102e-02,1.252913514464353284e-01,-8.351600753317607939e+01
0.000000000000000000e+00,9.000000000000000000e+00,1.743066786968938686e-02,1.162908428568698582e-03,-1.799087827581183490e+02
1.000000000000000000e+00,0.000000000000000000e+00,1.868535555888684030e-02,-3.741008074769069935e-04,-1.799933699951655512e+02
1.000000000000000000e+00,1.000000000000000000e+00,1.868728339252356818e-02,-3.752957398432954506e-04,5.807896898192358037e+01
1.000000000000000000e+00,2.000000000000000000e+00,8.333051618365061586e-03,6.620208889768264271e-02,-1.798455000326568154e+02
1.000000000000000000e+00,3.000000000000000000e+00,-8.164515895919066679e-02,4.378128335953874739e-01,-1.087050135494290544e+02
1.000000000000000000e+00,4.000000000000000000e+00,7.396452618190778594e-01,-1.217531319029717451e+00,-1.719622246784319373e+02
1.000000000000000000e+00,5.000000000000000000e+00,4.264642776330788365e+00,-4.510023368573342850e+00,-1.151841637211299769e+02
1.000000000000000000e+00,6.000000000000000000e+00,3.816910946689972661e+00,-2.972689421229006257e+00,1.787949036485897523e+02
1.000000000000000000e+00,7.000000000000000000e+00,2.140012903225851915e-01,-3.440512110902318454e-01,-1.330452603133315961e+02
1.000000000000000000e+00,8.000000000000000000e+00,-8.692788920961902477e-02,1.503626581285288921e-01,-1.778606737692034869e+02
1.000000000000000000e+00,9.000000000000000000e+00,8.898867862967563269e-03,1.481866337053361349e-02,1.748721738933780330e+02
2.000000000000000000e+00,0.000000000000000000e+00,1.217413931522060011e-02,8.219317572013551398e-03,1.281556791696337427e+02
2.000000000000000000e+00,1.000000000000000000e+00,1.221127157384671591e-02,8.199236653638308781e-03,-1.799943344313163038e+02
2.000000000000000000e+00,2.000000000000000000e+00,1.371424908620610950e-02,3.758733219052601271e-02,-1.605637736220820670e+02
2.000000000000000000e+00,3.000000000000000000e+00,-7.328108896876983636e-01,1.629598982961624642e+00,-1.749541774622483103e+02
2.000000000000000000e+00,4.000000000000000000e+00,1.534392819307868194e+00,-2.121010681157258659e+00,-1.266093979390202406e+02
2.000000000000000000e+00,5.000000000000000000e+00,7.644076134107308462e+00,-8.461215742185117961e+00,1.481548102545994539e+02
2.000000000000000000e+00,6.000000000000000000e+00,8.027092641098533932e+00,-7.454038201836056032e+00,-1.114301757545082552e+02
2.000000000000000000e+00,7.000000000000000000e+00,1.008538704605257408e+00,-7.744135576126609521e-01,-1.725174372445819131e+02
2.000000000000000000e+00,8.000000000000000000e+00,-6.139481152721373292e-01,6.209167279009761842e-01,-7.424446462166812921e+01
2.000000000000000000e+00,9.000000000000000000e+00,1.484283457011770224e-02,9.364166418095010158e-03,-1.796676265454366614e+02
3.000000000000000000e+00,0.000000000000000000e+00,1.654848733858216292e-02,4.492640513177548200e-03,-1.799950380757198332e+02
3.000000000000000000e+00,1.000000000000000000e+00,1.656620408971321012e-02,4.484269706097165908e-03,9.068374946590924424e+01
3.000000000000000000e+00,2.000000000000000000e+00,-4.906061444444276276e-03,1.371036012426429807e-01,-1.796490021612161740e+02
3.000000000000000000e+00,3.000000000000000000e+00,-2.930255118801596836e-01,9.209746976854376044e-01,-1.064421898890387155e+02
3.000000000000000000e+00,4.000000000000000000e+00,5.218495121369983281e+00,-6.097520408191030583e+00,1.678482538647447768e+02
3.000000000000000000e+00,5.000000000000000000e+00,7.859794327693521154e+00,-9.193778097925644488e+00,-1.258189762776069642e+02
3.000000000000000000e+00,6.000000000000000000e+00,8.983808153857580692e+00,-7.443688863515944831e+00,1.495136183765587248e+02
3.000000000000000000e+00,7.000000000000000000e+00,5.332446592251244510e+00,-3.261614937272156567e+00,-8.730551125759623687e+01
3.000000000000000000e+00,8.000000000000000000e+00,-3.391463892562569526e-01,3.622324914598493706e-01,-1.755259975567383037e+02
3.000000000000000000e+00,9.000000000000000000e+00,-1.087433597308518074e-02,4.475853927283424127e-02,-9.956668702570871687e+01
4.000000000000000000e+00,0.000000000000000000e+00,1.919422147727800620e-02,-9.646732933958901413e-04,5.461913007269630782e+01
4.000000000000000000e+00,1.000000000000000000e+00,1.920219653857202502e-02,-9.714308444017660804e-04,-1.799936050552427957e+02
4.000000000000000000e+00,2.000000000000000000e+00,1.308541313858313515e-02,3.809524825152266203e-02,-1.584700481753770873e+02
4.000000000000000000e+00,3.000000000000000000e+00,-7.854707926358059922e-01,1.646779307403676285e+00,-1.745947518598782153e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.976454460488412224e+00,-2.481701282908602479e+00,-1.220802650555970104e+02
4.000000000000000000e+00,5.000000000000000000e+00,8.487181428547387441e+00,-8.811655103904968200e+00,1.437607526452406432e+02
4.000000000000000000e+00,6.000000000000000000e+00,9.181013611116668471e+00,-8.039168971544654596e+00,-1.093308782483733097e+02
4.000000000000000000e+00,7.000000000000000000e+00,2.152476707305595482e+00,-1.290659670387640290e+00,-1.753022697954159810e+02
4.000000000000000000e+00,8.000000000000000000e+00,-8.270915140323040760e-01,5.924068776665762925e-01,-6.126977905122655699e+01
4.000000000000000000e+00,9.000000000000000000e+00,1.155316295250941039e-02,1.069845163226545992e-02,-1.795984519841085501e+02
5.000000000000000000e+00,0.000000000000000000e+00,1.657905843944718072e-02,4.104478786700838100e-03,-1.799903403827131854e+02
5.000000000000000000e+00,1.000000000000000000e+00,1.658640465655025764e-02,4.108991698387853830e-03,8.799096367667864627e+01
5.000000000000000000e+00,2.000000000000000000e+00,7.575472258849913487e-03,6.832092617395346679e-02,-1.798036788121740130e+02
5.000000000000000000e+00,3.000000000000000000e+00,-9.735383433621791482e-02,4.522795305992985959e-01,-1.072631624302745763e+02
5.000000000000000000e+00,4.000000000000000000e+00,1.800454334116466271e+00,-2.127809600044884064e+00,-1.743061108011952456e+02
5.000000000000000000e+00,5.000000000000000000e+00,5.367621999977359337e+00,-5.099884778226851267e+00,-1.102224714892362272e+02
5.000000000000000000e+00,6.000000000000000000e+00,5.846998666920171672e+00,-3.940294921232407432e+00,1.698515948478494408e+02
5.000000000000000000e+00,7.000000000000000000e+00,2.339418997042912451e+00,-1.429718685198736239e+00,-8.428253483750592068e+01
5.000000000000000000e+00,8.000000000000000000e+00,-1.732339102852620272e-01,2.169757226838555653e-01,-1.768665010826638877e+02
5.000000000000000000e+00,9.000000000000000000e+00,1.474381134812574601e-03,2.551490722180460580e-02,-1.315884613920871971e+02
6.000000000000000000e+00,0.000000000000000000e+00,1.601740803789653000e-02,3.152727591157145071e-03,8.243938063096817359e+01
6.000000000000000000e+00,1.000000000000000000e+00,1.600949005035090522e-02,3.111553835651648114e-03,-1.799863033726119284e+02
6.000000000000000000e+00,2.000000000000000000e+00,1.602386439572001109e-02,3.207011590006914048e-03,8.267085462722903344e+01
6.000000000000000000e+00,3.000000000000000000e+00,-9.116334311954688019e-02,4.004210765165225894e-01,-1.785129000808415185e+02
6.000000000000000000e+00,4.000000000000000000e+00,-7.285162028083504993e-01,1.299296541361115942e+00,-1.013396906406289304e+02
6.000000000000000000e+00,5.000000000000000000e+00,1.694393556091881692e+00,-1.575073690694637207e+00,-1.740452262922531190e+02
6.000000000000000000e+00,6.000000000000000000e+00,1.951760282189638929e+00,-1.499970463726526759e+00,-9.528925800203721508e+01
6.000000000000000000e+00,7.000000000000000000e+00,-8.511462141660786074e-01,6.408950323645967728e-01,-1.723707314148466025e+02
6.000000000000000000e+00,8.000000000000000000e+00,-1.714393648293253136e-01,2.279169236622919925e-01,-6.816423103341557521e+01
6.000000000000000000e+00,9.000000000000000000e+00,1.513355364636481681e-02,3.480538772578256612e-03,-1.798389874366411050e+02
7.000000000000000000e+00,0.000000000000000000e+00,1.529498997967948526e-02,3.332806831593870811e-03,-1.798668099174189479e+02
7.000000000000000000e+00,1.000000000000000000e+00,1.773233114988670422e-02,2.385310142585694848e-03,7.566304859484574763e+01
7.000000000000000000e+00,2.000000000000000000e+00,1.779354178779612994e-02,2.421348903226316907e-03,-1.799886156901442860e+02
7.000000000000000000e+00,3.000000000000000000e+00,9.360768413671394228e-03,5.197064795731876075e-02,-1.419733661201549921e+02
7.000000000000000000e+00,4.000000000000000000e+00,-2.517589532237707317e-01,6.057010447311768075e-01,-1.769461332669116587e+02
7.000000000000000000e+00,5.000000000000000000e+00,-6.951141922562555919e-01,9.873393186367707131e-01,-9.116376582466890000e+01
7.000000000000000000e+00,6.000000000000000000e+00,-7.891159287089521968e-01,7.583042712522001239e-01,-1.730874297419662184e+02
7.000000000000000000e+00,7.000000000000000000e+00,-3.859525309362652479e-01,4.418738641813888535e-01,-7.032071128350327172e+01
7.000000000000000000e+00,8.000000000000000000e+00,1.587941546631554957e-03,2.730846791564545128e-02,-1.792824348248902027e+02
7.000000000000000000e+00,9.000000000000000000e+00,1.553500209229241591e-02,5.089685051643755287e-03,9.552035676749609650e+01
8.000000000000000000e+00,0.000000000000000000e+00,1.645423976640358887e-02,2.598942229951717309e-03,7.817599282643219283e+01
8.000000000000000000e+00,1.000000000000000000e+00,1.644697635231295862e-02,2.579633470531916828e-03,-1.799953237123205554e+02
8.000000000000000000e+00,2.000000000000000000e+00,1.644697635231295862e-02,2.579633470531916828e-03,7.817598018503917956e+01
8.000000000000000000e+00,3.000000000000000000e+00,1.664669385468187102e-02,2.939040020237371209e-03,-1.799584967289702035e+02
8.000000000000000000e+00,4.000000000000000000e+00,4.126190781335026259e-04,7.538467282984129270e-02,-1.242345236388516696e+02
8.000000000000000000e+00,5.000000000000000000e+00,-9.555079033316360437e-02,2.469754845174634283e-01,-1.779383592253782354e+02
8.000000000000000000e+00,6.000000000000000000e+00,-1.136031269469413019e-01,2.274159912045661258e-01,-8.384253819029461852e+01
8.000000000000000000e+00,7.000000000000000000e+00,-1.472346059006213181e-02,5.308171944693640398e-02,-1.789358860592850249e+02
8.000000000000000000e+00,8.000000000000000000e+00,1.183997766622724157e-02,1.219276937138147332e-02,1.490900798063530033e+02
8.000000000000000000e+00,9.000000000000000000e+00,1.350431351886527409e-02,6.390705779494965100e-03,-1.799773351595814574e+02
9.000000000000000000e+00,0.000000000000000000e+00,1.348229488849028712e-02,6.350484415463597543e-03,-1.799773351344538241e+02
9.000000000000000000e+00,1.000000000000000000e+00,1.349055891341777169e-02,6.369175428233120329e-03,1.106423244884638848e+02
9.000000000000000000e+00,2.000000000000000000e+00,1.349055891341777169e-02,6.369175428176276910e-03,-1.799773351696392183e+02
9.000000000000000000e+00,3.000000000000000000e+00,1.419147938781861740e-02,5.857127930710248620e-03,1.051106788868765136e+02
9.000000000000000000e+00,4.000000000000000000e+00,1.417240046293954947e-02,5.837884509844570857e-03,-1.799675856783927372e+02
9.000000000000000000e+00,5.000000000000000000e+00,1.041193988771738077e-02,2.766164750863708832e-02,-1.637060766320046241e+02
9.000000000000000000e+00,6.000000000000000000e+00,1.038887068898475263e-02,2.776043336689326679e-02,-1.796275723249281384e+02
9.000000000000000000e+00,7.000000000000000000e+00,1.038437390570834395e-02,2.772089690938628337e-02,-1.637508901997201178e+02
9.000000000000000000e+00,8.000000000000000000e+00,1.860868825315264985e-02,8.626451402733437135e-04,-1.799413783312033388e+02
9.000000000000000000e+00,9.000000000000000000e+00,1.865782404320270871e-02,-2.122712453456188086e-05,6.016221330745598550e+01
1.000000000000000000e+01,0.000000000000000000e+00,1.865718867713894724e-02,-2.937892648446904786e-05,6.016220880902602630e+01
1.000000000000000000e+01,1.000000000000000000e+00,1.865815240569190792e-02,-1.695404205293016275e-05,-1.799822625471290962e+02
1.000000000000000000e+01,2.000000000000000000e+00,1.865815240569190792e-02,-1.695404210977358161e-05,6.016220849540364668e+01
1.000000000000000000e+01,3.000000000000000000e+00,1.865815240569190792e-02,-1.695404210977358161e-05,-1.799822625471291531e+02
1.000000000000000000e+01,4.000000000000000000e+00,1.865393021614636382e-02,-5.403925501923367847e-05,6.016220918661809947e+01
1.000000000000000000e+01,5.000000000000000000e+00,1.867973072432960180e-02,6.285667836891661864e-06,-1.799822624977447845e+02
1.000000000000000000e+01,6.000000000000000000e+00,1.838717719112992199e-02,1.372186695903110376e-03,6.826385464443336559e+01
1.000000000000000000e+01,7.000000000000000000e+00,1.844378555631465133e-02,5.680351112005155301e-04,-1.799500666516602223e+02
1.000000000000000000e+01,8.000000000000000000e+00,1.862092996123010380e-02,6.392314583081315504e-05,6.064122614668725220e+01
1.000000000000000000e+01,9.000000000000000000e+00,1.879573898543185351e-02,-3.394345058040926233e-04,-1.799930960679394047e+02
1.100000000000000000e+01,0.000000000000000000e+00,1.879597009610733949e-02,-3.399491195921200415e-04,-1.799930960650951306e+02
1.100000000000000000e+01,1.000000000000000000e+00,1.883294445565297792e-02,-4.110893581241725769e-04,5.786935065804415501e+01
1.100000000000000000e+01,2.000000000000000000e+00,1.883310814832839242e-02,-4.111821470473842055e-04,-1.799935463594060252e+02
1.100000000000000000e+01,3.000000000000000000e+00,1.883310814832839242e-02,-4.111821470473842055e-04,5.786935009593813817e+01
1.100000000000000000e+01,4.000000000000000000e+00,1.883311643018714676e-02,-4.112020747584210767e-04,-1.799935463590917948e+02
1.100000000000000000e+01,5.000000000000000000e+00,1.883613026461716800e-02,-4.134690648811556457e-04,5.786934881795696839e+01
1.100000000000000000e+01,6.000000000000000000e+00,1.883850326089486771e-02,-4.149423486978776054e-04,-1.799921188843152322e+02
1.100000000000000000e+01,7.000000000000000000e+00,1.883766494051997142e-02,-4.141528479522094131e-04,5.785065877073998308e+01
1.100000000000000000e+01,8.000000000000000000e+00,1.887255200790605159e-02,-4.889872911917336751e-04,-1.799925043680892713e+02
1.100000000000000000e+01,9.000000000000000000e+00,1.887576982403516013e-02,-4.896912726053415099e-04,5.739104063370299968e+01
1.200000000000000000e+01,0.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,5.739104084603063427e+01
1.200000000000000000e+01,1.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,-1.799925043617197389e+02
1.200000000000000000e+01,2.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,5.739104091319990175e+01
1.200000000000000000e+01,3.000000000000000000e+00,1.887576982426253380e-02,-4.896912725484980911e-04,-1.799925043617197389e+02
1.200000000000000000e+01,4.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,5.739104082034945975e+01
1.200000000000000000e+01,5.000000000000000000e+00,1.887576982426253380e-02,-4.896912725484980911e-04,-1.799925043617197673e+02
