i,j,force_x,force_y,force_z,original_center_x_px,original_center_y_px,displaced_center_x_px,displaced_center_y_px,center_dx_px,center_dy_px,rotation_angle_deg,p1_original_x_px,p1_original_y_px,p1_displaced_x_px,p1_displaced_y_px,p1_dx_px,p1_dy_px,p2_original_x_px,p2_original_y_px,p2_displaced_x_px,p2_displaced_y_px,p2_dx_px,p2_dy_px,p3_original_x_px,p3_original_y_px,p3_displaced_x_px,p3_displaced_y_px,p3_dx_px,p3_dy_px
0.000000000000000000e+00,0.000000000000000000e+00,-2.044090173826399769e-13,-1.379234213377758415e-13,-6.477580545953650250e-11,2.537665569066728608e+02,1.703233238166538968e+02,2.537665569066728608e+02,1.703233238166538968e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+02,2.537665569066728608e+02,2.173449714499616618e+02,2.537665569066728608e+02,1.917605593386070950e+02,0.000000000000000000e+00,-2.558441211135456683e+01,2.944884982849177959e+02,1.468125000000000000e+02,2.352013663577512261e+02,1.596047060556772976e+02,-5.928713192716656977e+01,1.279220605567729763e+01,2.130446155284278973e+02,1.468125000000000000e+02,2.723317474555944955e+02,1.596047060556772976e+02,5.928713192716659819e+01,1.279220605567729763e+01
0.000000000000000000e+00,1.000000000000000000e+00,-7.499890971733201896e-10,-5.059920831460198374e-10,-5.842076591690899511e-08,2.537665569066728608e+02,2.643666190832694269e+02,2.537665569066728608e+02,2.643666190832694269e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+02,2.537665569066728608e+02,2.173449714499616618e+02,2.537665569066728608e+02,2.858038546052226252e+02,0.000000000000000000e+00,6.845888315526096335e+01,2.944884982849177959e+02,2.878774428999233237e+02,2.352013663577512261e+02,2.536480013222928278e+02,-5.928713192716656977e+01,-3.422944157763049589e+01,2.130446155284278973e+02,2.878774428999233237e+02,2.723317474555944955e+02,2.536480013222928278e+02,5.928713192716659819e+01,-3.422944157763049589e+01
0.000000000000000000e+00,2.000000000000000000e+00,-2.452207964629130849e-08,-1.654028130014105734e-08,-1.073550755481629247e-06,2.537665569066728608e+02,3.113882667165772204e+02,2.537665569066728608e+02,3.113882667165772204e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.537665569066728608e+02,3.584099143498850140e+02,2.537665569066728608e+02,3.328255022385304756e+02,0.000000000000000000e+00,-2.558441211135453841e+01,2.944884982849177959e+02,2.878774428999233237e+02,2.352013663577512261e+02,3.006696489556006213e+02,-5.928713192716656977e+01,1.279220605567729763e+01,2.130446155284278973e+02,2.878774428999233237e+02,2.723317474555944955e+02,3.006696489556006213e+02,5.928713192716659819e+01,1.279220605567729763e+01
0.000000000000000000e+00,3.000000000000000000e+00,-7.767036663128672812e-06,-5.228166314381530499e-06,-1.396026194360779342e-04,2.537665569066728608e+02,4.054315619831927506e+02,2.537665569066728608e+02,4.054315619831927506e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+02,2.537665569066728608e+02,3.584099143498850140e+02,2.537665569066728608e+02,4.268687975051459489e+02,0.000000000000000000e+00,6.845888315526093493e+01,2.944884982849177959e+02,4.289423857998466474e+02,2.352013663577512261e+02,3.947129442222161515e+02,-5.928713192716656977e+01,-3.422944157763049589e+01,2.130446155284278973e+02,4.289423857998466474e+02,2.723317474555944955e+02,3.947129442222161515e+02,5.928713192716659819e+01,-3.422944157763049589e+01
0.000000000000000000e+00,4.000000000000000000e+00,-7.660718536005817431e-05,-5.140936209114184169e-05,-9.998685419729581598e-04,2.537665569066728608e+02,4.524532096165004873e+02,2.537665569066728608e+02,4.524532096165004873e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.153996245958523371e-15,2.537665569066728608e+02,4.994748572498082808e+02,2.537665569066728608e+02,4.738904451384537424e+02,0.000000000000000000e+00,-2.558441211135453841e+01,2.944884982849177959e+02,4.289423857998466474e+02,2.352013663577512261e+02,4.417345918555238882e+02,-5.928713192716656977e+01,1.279220605567724078e+01,2.130446155284278973e+02,4.289423857998466474e+02,2.723317474555944955e+02,4.417345918555238882e+02,5.928713192716659819e+01,1.279220605567724078e+01
0.000000000000000000e+00,5.000000000000000000e+00,-2.487858764709634501e-03,-1.645936001580468365e-03,-2.056820267363620308e-02,2.537665569066728608e+02,5.464965048831161312e+02,2.537766774152404707e+02,5.464935623538049185e+02,1.012050856760993156e-02,-2.942529311212638277e-03,-1.799195133170442489e+02,2.537665569066728608e+02,4.994748572498082808e+02,2.537465620862288915e+02,5.679307764156210396e+02,-1.999482044396927449e-02,6.845591916581275882e+01,2.944884982849177959e+02,5.700073286997699142e+02,2.352265670426292274e+02,5.357488768004465101e+02,-5.926193124228856846e+01,-3.425845189932340418e+01,2.130446155284278973e+02,5.700073286997699142e+02,2.723569031168632932e+02,5.358010338453475470e+02,5.931228758843539595e+01,-3.420629485442236728e+01
0.000000000000000000e+00,6.000000000000000000e+00,-8.431487952231260519e-03,-5.517859105352767267e-03,-5.885122381450855200e-02,2.537665569066728608e+02,5.935181525164239247e+02,2.537947980024112837e+02,5.935105461443749846e+02,2.824109573842292775e-02,-7.606372048940102104e-03,2.902822356651035207e+01,2.537665569066728608e+02,6.405398001497317182e+02,2.537063561976941628e+02,6.149475968461347293e+02,-6.020070897869800319e-02,-2.559220330359698892e+01,2.944884982849177959e+02,5.700073286997700279e+02,2.352740175825099413e+02,5.827154441305497130e+02,-5.921448070240785455e+01,1.270811543077968508e+01,2.130446155284278973e+02,5.700073286997700279e+02,2.724040202270297186e+02,5.828685974564406251e+02,5.935940469860182134e+01,1.286126875667059721e+01
0.000000000000000000e+00,7.000000000000000000e+00,-3.277966700799066213e-02,-2.101644385447236710e-02,-1.856825190945424753e-01,2.537665569066728608e+02,6.875614477830395117e+02,2.539393392542495747e+02,6.875459030361238320e+02,1.727823475767138461e-01,-1.554474691567975242e-02,-1.793084906703325316e+02,2.537665569066728608e+02,6.405398001497317182e+02,2.536801616135240636e+02,7.089813866469752384e+02,-8.639529314879723643e-02,6.844158649724352017e+01,2.944884982849177959e+02,7.110722715996932948e+02,2.355060650423781681e+02,6.766045094711746515e+02,-5.898243324253962783e+01,-3.446776212851864329e+01,2.130446155284278973e+02,7.110722715996932948e+02,2.726317911068464923e+02,6.770518129902217197e+02,5.958717557841859502e+01,-3.402045860947157507e+01
0.000000000000000000e+00,8.000000000000000000e+00,-3.552994357446512264e-02,-2.261927744262717116e-02,-2.014985484579357167e-01,2.537665569066728608e+02,7.345830954163471915e+02,2.539406454144872782e+02,7.345672272823345565e+02,1.740885078144174258e-01,-1.586813401263498235e-02,4.427913546022496405e+01,2.537665569066728608e+02,7.816047430496549850e+02,2.536635641333485580e+02,7.560024883859884994e+02,-1.029927733243027888e-01,-2.560225466366648561e+01,2.944884982849177959e+02,7.110722715996934085e+02,2.355165332810510677e+02,7.236104446065655793e+02,-5.897196500386672824e+01,1.253817300687217084e+01,2.130446155284278973e+02,7.110722715996934085e+02,2.726418388290622374e+02,7.240887488544497046e+02,5.959722330063434015e+01,1.301647725475629613e+01
0.000000000000000000e+00,9.000000000000000000e+00,-1.112415633034984433e-02,-7.024615603177776502e-03,-8.561068467808871651e-02,2.537665569066728608e+02,8.286263906829626649e+02,2.538405664905169772e+02,8.286178166464350170e+02,7.400958384411637780e-02,-8.574036527647876937e-03,-1.796755296657413794e+02,2.537665569066728608e+02,7.816047430496548714e+02,2.537190802699205960e+02,8.500546727050384561e+02,-4.747663675226476698e-02,6.844992965538358476e+01,2.944884982849177959e+02,8.521372144996165616e+02,2.353365997820564530e+02,8.177943289486372578e+02,-5.915189850286134288e+01,-3.434288555097930384e+01,2.130446155284278973e+02,8.521372144996165616e+02,2.724660194195739109e+02,8.180044482856294508e+02,5.942140389114601362e+01,-3.413276621398711086e+01
